title,artists,date,rank,peak,total weeks,lyrics,info,Sentiment
Jump Then Fall,Taylor Swift,11/08/2009,10,10,0,"I like the way you sound in the morning
We're on the phone and without a warning
I realize your laugh is the best sound I have ever heard
I like the way I can't keep my focus
I watch you talk, you didn't notice
I hear the words but all I can think is we should be together

Every time you smile, I smile
And every time you shine, I'll shine for you

Whoa, I'm feeling you baby
Don't be afraid to jump then fall, jump then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'm gonna stay through it all
So jump then fall

Well, I like the way your hair falls in your face
You got the keys to me, I love each freckle on your face
Oh, I've never been so wrapped up, honey
I like the way you're everything I've ever wanted
I had time to think it over and all I can say is come closer
Take a deep breath and jump then fall into me

'Cause every time you smile, I smile
And every time you shine, I'll shine for you

Whoa, I'm feeling you baby
Don't be afraid to jump then fall, jump then fall into me 
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'm gonna stay through it all
So jump then fall

The bottom's gonna drop out from under our feet
I'll catch you, I'll catch you
When people say things that bring you to your knees
I'll catch you
The time is gonna come when you're so mad you could cry
But I'll hold you through the night until you smile

Whoa, I need you baby
Don't be afraid, please jump then fall, jump then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all 
So jump then fall

Jump then fall, baby
Jump then fall into me, into me

Every time you smile, I smile
And every time you shine, I'll shine
And every time you're here, baby
I'll show you, I'll show you you can

Jump then fall, jump then fall
Jump then fall into me, into me, yeah",Jump Then Fall+Taylor Swift,1
Replay,Iyaz,11/15/2009,4,4,12,"Shawty's like a melody in my head
That I can't keep out
Got me singin' like
Na na na na everyday
It's like my iPod's stuck on replay
Replay-ay-ay-ay

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's stuck on replay

Replay

Remember the first time we met
You was at the mall wit yo friend
I was scared to approach ya
But then you came closer
Hopin' you would give me a chance

Who would have ever knew
That we would ever be more than friends
We're real worldwide, breakin' all the rules
She like a song played again and again

That girl -
Like somethin' off a poster
That girl -
Is a dime they say
That girl -
Is the gun to my holster
She's runnin' through my mind all day (Ay!)

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's  stuck on replay
Replay-ay-ay-ay

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's stuck on replay
Replay-ay-ay-ay

See you been all around the globe
Not once did you leave my mind
We talk on the phone, from night til the morn
Girl you really changed my life

Doin' things I never do
I'm in the kitchin cookin' things she likes
We're real worldwide, breakin' all the rules
Someday I wanna make you my wife

That girl -
Like somethin' off a poster
That girl -
Is a dime they say
That girl -
Is the gun to my holster
She's runnin' through my mind all day (Ay!)

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's stuck on replay
Replay-ay-ay-ay (Whoa)

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's  stuck on replay
Replay-ay-ay-ay

I can be your melody
A girl that could write you a symphony
The one that could fill your fantasies
So come baby girl let's sing with me
Ay!
I can be your melody
A girl that could write you a symphony
The one that could fill your fantasies
So come baby girl let's sing with me

Ay!
Na na na na na na na
Na na na na na na
Shawty got me singin'
Na na na na na na na
Na na na na na na
Now she got me singin'

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's stuck on replay
Replay-ay-ay-ay

Shawty's like a melody in my head
That I can't keep out
Got me singin' like ay!
Na na na na everyday
It's like my iPod's stuck on replay
Replay-ay-ay-ay",Replay+Iyaz,1
Russian Roulette,Rihanna,11/15/2009,9,9,3,"Take a breath, take it deep
Calm yourself, he says to me
If you play, you play for keeps
Take the gun, and count to three
I'm sweating now, moving slow
No time to think, my turn to go

And you can see my heart beating
You can see it through my chest
And I'm terrified but I'm not leaving
I know that I must pass this test
So just pull the trigger (trigger, trigger...)

Say a prayer to yourself
He says close your eyes, sometimes it helps
And then I get, a scary thought
That he's here, means he's never lost

And you can see my heart beating
You can see it through my chest
Said I'm terrified but I'm not leaving
I know that I must pass this test
So just pull the trigger

As my life flashes before my eyes
I'm wondering will I ever see another sunrise
So many won't get the chance to say goodbye
But it's too late to think of the value of my life

And you can see my heart beating
You can see it through my chest
Said I'm terrified but I'm not leaving, no
I know that I must pass this test

And you can see my heart beating
You can see it through my chest
I, I'm terrified but I'm not leaving (No No)
I know that I must pass this test
So just pull the trigger (trigger, trigger...)",Russian Roulette+Rihanna,0
Need You Now,Lady Antebellum,11/22/2009,5,5,14,"Picture perfect memories scattered all around the floor
Reachin' for the phone, 'cause I can't fight it any more
And I wonder if I ever cross your mind
For me, it happens all the time

It's a quarter after one, I'm all alone and I need you now
Said I wouldn't call, but I've lost all control and I need you now
And I don't know how I can do without, I just need you now

Another shot o' whiskey, can't stop lookin' at the door
Wishing you'd come sweepin' in the way you did before
And I wonder if I ever cross your mind
For me, it happens all the time

It's a quarter after one, I'm a little drunk and I need you now
Said I wouldn't call, but I've lost all control and I need you now 
And I don't know how I can do without; I just need you now

Whoa-oh-whoa
Guess I'd rather hurt than feel nothin' at all

It's a quarter after one, I'm all alone and I need you now
And I said I wouldn't call, but I'm a little drunk and I need you now
And I don't know how I can do without, I just need you now
I just need you now

Oh, baby, I need you now",Need You Now+Lady Antebellum,0
TiK ToK,Ke$ha,11/22/2009,10,10,6,"Wake up in the morning, feelin' like P. Diddy (hey, what up girl?)
Grab my glasses, I'm out the door, I'm gonna hit this city (let's go)
Before I leave, brush my teeth with a bottle of Jack
'Cause when I leave for the night, I ain't coming back

I'm talking pedicure on our toes, toes
Tryin' on all our clothes, clothes
Boys blowing up our phones, phones
Drop-topping, playing our favorite CDs
Pullin' up to the parties
Trying to get a little bit tipsy

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
Till we see the sunlight

Tik tok on the clock
But the party don't stop, no
Oh, woah, oh, oh
Oh, woah, oh, oh

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
Till we see the sunlight

Tik tok on the clock
But the party don't stop, no
Oh, woah, oh, oh
Oh, woah, oh, oh

Ain't got a care in world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now the dudes are lining up 'cause they hear we got swagger
But we kick 'em to the curb unless they look like Mick Jagger

I'm talking about everybody getting crunk, crunk
Boys trying to touch my junk, junk
Gonna smack him if he getting too drunk, drunk
Now, now, we goin' till they kick us out, out
Or the police shut us down, down
Police shut us down, down
Po-po shut us

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
Till we see the sunlight

Tik tok on the clock
But the party don't stop, no
Oh, woah, oh, oh
Oh, woah, oh, oh

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
Till we see the sunlight

Tik tok on the clock
But the party don't stop, no
Oh, woah, oh, oh
Oh, woah, oh, oh

DJ, you build me up
You break me down
My heart, it pounds
Yeah, you got me

With my hands up
You got me now
You got that sound
Yeah, you got me

DJ, you build me up
You break me down
My heart, it pounds
Yeah, you got me

With my hands up
Put your hands up
Put your hands up
Now the party don't start till I walk in

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
Till we see the sunlight

Tik tok on the clock
But the party don't stop, no
Oh, woah, oh, oh
Oh, woah, oh, oh

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
Till we see the sunlight

Tik tok on the clock
But the party don't stop, no
Oh, woah, oh, oh
Oh, woah, oh, oh",TiK ToK+Ke$ha,1
Sexy Chick,David Guetta Featuring Akon,11/29/2009,7,7,16,"Akon:
Yes, I can see her
'Cause every girl here wanna be her
Oh, she's a diva
I feel the same and I wanna meet her
They say she low down, it's just a rumor and I don't believe 'em 
They say she needs to slow down
The baddest thing around town

She's nothing like a girl you've ever seen before
Nothing you can compare to your neighborhood
I'm trying to find the words to describe this girl without being disrespectful
The way that booty movin' I can't take no more
Had to stop what I'm doing so I can pull up close
I'm trying to find the words to describe this girl without being disrespectful

Damn, girl!

David Guetta:
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick, damn, girl!
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick, damn, girl!

Akon:
Yes, I can see her
'Cause every girl here wanna be her
Oh, she's a diva
I feel the same and I wanna meet her
They say she low down, it's just a rumor and I don't believe 'em 
They say she needs to slow down
The baddest thing around town

She's nothing like a girl you've ever seen before
Nothing you can compare to your neighborhood
I'm trying to find the words to describe this girl without being disrespectful
The way that booty movin' I can't take no more
Had to stop what I'm doing so I can pull her close
I'm trying to find the words to describe this girl without being disrespectful

Damn, girl!

David Guetta:
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick, damn, girl!
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick, damn, girl!

Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick, damn, girl!
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick, damn, you's a sexy chick",Sexy Chick+David Guetta Featuring Akon,0
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,01/03/2010,10,10,8,"Hey! Jay Sean
Yeah! Sean Paul
Lil Jon!
This one right here is for all the ladies
Ladies who want to take it back
Dur dirty ay
Holler at them Jay

I've been thinking about you
And how we used to be then
Back when it didn't have to end
we could start again

There's nothing left to say
Don't waste another day
Just you and me tonight
Everything will be okay
If it's alright with you, then it's alright with me
Baby let's take this time, let's make new memories (let's go)

Do you remember, do you remember, do you remember
All of the times we had
Do you remember, do you remember, do you remember
All of the times we had
Let's bring it back (Bring it back!)
Let's bring it back (Bring it back!)
Let's bring it back (Bring it back!)
Let's bring it back (Bring it back!)
Let's bring it back

(Yo Jay, Sing for these ladies!)

So long since you've been missing
It's good to see you again
How you, how you doing
And how about we don't let this happen again

There's nothing left to say
Don't waste another day
Just you and me tonight
Everything will be okay
If it's alright with you, then it's alright with me
Baby let's take this time, let's make new memories

Do you remember, do you remember, do you remember
All of the times we had
Do you remember, do you remember, do you remember
All of the times we had
Let's bring it back (Bring it back!)
Let's bring it back (Bring it back!)
Let's bring it back (Bring it back!)
Let's bring it back (Bring it back!)

Yo ay girl yo bring it back to the time when you and me had just begun
When I was still your number one
Well it might seem far-fetched baby girl but it can be done
I've got this feeling fire blazing and it's hot just like the sun
Know you feel it too my girl just freeze up may the good vibes run 


Girl take a sip of the champange
Take a lil trip down my lane my girl
While you know every night
You'll feel alright look I tell you dis 

girl atta My world
Don't change imma na rearrange
Ay girl imma tell you straight dis atta my world
How many years do you want come kiss dis girl cuz you miss this
That's what I heard
That's what I heard
That's what I heard
Word girl

There's nothing left to say
Don't waste another day
Just you and me tonight
Everything will be okay
If it's alright with you then it's alright with me
Baby let's take this time let's make new memories

Do you remember, do you remember, do you remember
All of the times we had
Do you remember, do you remember, do you remember
All of the times we had
Let's bring it back (Let's bring it back)
Let's bring it back (Bring it back)
Let's bring it back (Let's bring it back)
Let's bring it back (Oh)
Let's bring it back",Do You Remember+Jay Sean Featuring Sean Paul & Lil Jon,0
Blah Blah Blah,Ke$ha Featuring 3OH!3,01/17/2010,7,7,0,"Ah
La, da, da
Blah, blah, blah, blah, blah

Coming out your mouth with
Your blah, blah, blah
Zip your lips like a padlock, (Yeah)
And meet me in the back with the Jack
And the jukebox
I don't really care where you live at
Just turn around, boy, let me hit that
Don't be a little bitch with your chit chat
Just show me where your dick's at

Music's up
Listen hot stuff
I'm in love (Love)
With this song
So just hush (Hush)
Baby, shut up (Up)
Heard enough

Stop ta-ta-talking that
Blah, blah, blah
Think you'll be getting this?
Nah, nah, nah
Not in the back of my
Car-ah-ah
If you keep talking that
Blah, blah, blah, blah, blah

Boy, come on, give me rocks stuff
Come put a little love in my glove bag
(Yeah)
Wanna dance with no pants on?
(Holler)
Meet me in the back with the Jack
And the jukebox
So cut to the chase, kid
'Cause I know you don't care
What my middle name is
I wanna be naked
And you're wasted

Music's up
Listen hot stuff
I'm in love (Love)
With this song
So just hush (Hush)
Baby, shut up (Up)
Heard enough

Stop ta-ta-talking that
Blah, blah, blah
Think you'll be getting this?
Nah, nah, nah
Not in the back of my
Car-ah-ah
If you keep talking that
Blah, blah, blah, blah, blah

3OH!3:
You be delaying
You're always saying some shit (Sense)
You say I'm playin'?
I'm never laying the dick
Sayin' ""Blah, blah, blah""
'Cause I don't care who you are
In this bar it only matters who I am

Stop ta-ta-talking that
Blah, blah, blah
Think you'll be getting this?
Nah, nah, nah
Not in the back of my
Car-ah-ah
If you keep talking that
Blah, blah, blah, blah, blah

Blah, blah, blah
Think you'll be getting this?
Nah, nah, nah
Not in the back of my
Car-ah-ah
If you keep talking that
Blah, blah, blah, blah, blah (Oh!)

Blah, blah, blah
Stop talking
Stop ta-ta-talking that",Blah Blah Blah+Ke$ha Featuring 3OH!3,0
Hard,Rihanna Featuring Jeezy,01/17/2010,9,9,8,"(Rihanna)
Yeah, yeah, yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah (A yeah, yeah, yeah)
A yeah, yeah, yeah (A yeah, yeah, yeah)
A yeah, a yeah, a yeah, yeah
A yeah, a yeah, a yeah, yeah

They can say whateva
Imma do whateva
No pain is foreva
Yup, you know this

Tougher than a lion
Ain't no need in tryin'
I live where the sky ends
Yup, you know this

Never lyin', true tella
That Rihanna reign just won't let up
All black on, black top shades
Black top Maybach

I'ma rock this shit like fashion as in
Goin' till they say stop
And my, runway never looked so clear
But the hottest bitch in heels right here

No fear, and while you are getting your cry on
I'm getting my fly onnn
Sincere, I see you aimin' at my pedestal
I betta let ya know

That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
So hard, so hard, so hard, so hard

A yeah, yeah, yeah
That Rihanna reign just won't let up
A yeah, yeah, yeah
That Rihanna reign just won't let up
A yeah, yeah, yeah
That Rihanna reign just won't let up
So hard, so hard, so hard, so hard

All up on it
Know you wanna clone it
Ain't like me
That chick too phony
Ride this beat, beat, beat like a pony
Meet me at the top (top, top)
It's gettin' lonely

Who think they test me now
Run through yo town
I'll shut it down
Brilliant, resilient
Fan mail from 27 million

And I want it all
It's gonna take more than that
Hope that ain't all you got
I need it all
The money, the fame, the cars, the clothes

I can't just let you run up on me like that (all on me like that)
Yeah
I see you aimin' at my pedestal
So I think I betta let ya know

That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
So hard, so hard, so hard, so hard

(Jeezy)
Go hard or go home
Back to your residence
Soon the red doors get a block back to the presidents
I used to run my old block like Obama did
You don't gotta believe me, go ask my momma then

Couldn't even come in my room
Smell like a kilo
Look like me and two of my boys playin' casino
Cali's all I keep in my bag in California
Tell them to give me back my swag
They try to clone me

You see my Louis chucks, Louis bag, Louis frames,
Louis belt
What that make me
Louis Mane

I'm in the all white party wearin' all black
With my new black watch called the heart attack
Cardiac arrest, cardiac wrist
Yeah, they say they're hard
They ain't hard as this

Hard!

One word describes me
And if I wasn't doin' this
You know where I be, too hard

(Rihanna)
Where them girls talkin' trash
Where them girls talkin' trash
Where they at, where they at, where they at

Where them bloggers at
Where them bloggers at
Where they at, where they at, where they at

Where ya lighters at
Where ya lighters at
Where they at, where they at, where they at
So hard, so hard, so hard, so hard

That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
That I, I, I, I'm so hard
A yeah, yeah, yeah, I'm so hard
So hard, so hard, so hard, so hard

That I, I, I",Hard+Rihanna Featuring Jeezy,0
"Hey, Soul Sister",Train,01/24/2010,7,7,16,"Hey, hey, hey

Your lipstick stains
On the front lobe of my left-side brains 
I knew I wouldn't forget ya
And so I went and let you blow my mind

Your sweet moonbeam
The smell of you in every single dream I dream
I knew when we collided, you're the one I have decided
Who's one of my kind

Hey, soul sister, ain't that Mr. Mister on the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister, I don't wanna miss a single thing you do
Tonight

Hey, hey, hey

Just in time
I'm so glad you have a one-track mind like me
You gave my life direction
A game show love connection we can't deny 

I'm so obsessed
My heart is bound to beat right out my untrimmed chest
I believe in you; like a virgin, you're Madonna
And I'm always gonna wanna blow your mind

Hey, soul sister, ain't that Mr. Mister on the radio, stereo?
The way you move ain't fair you know
Hey, soul sister, I don't wanna miss a single thing you do
Tonight

The way you can cut a rug
Watching you's the only drug I need
You so gangster; I'm so thug
You're the only one I'm dreaming of, you see
I can be myself now, finally
In fact, there's nothing I can't be
I want the world to see you be with me

Hey, soul sister, ain't that Mr. Mister on the radio, stereo?
The way you move ain't fair you know
Hey, soul sister, I don't wanna miss a single thing you do
Tonight

Hey, soul sister, I don't wanna miss a single thing you do
Tonight
Hey, hey, hey
Tonight
Hey, hey, hey, hey
Tonight","Hey, Soul Sister+Train",0
How Low,Ludacris,01/24/2010,10,10,6,"How low can you go? (x8)
How low can you go? (x8)

Luda!
She could go lower than I ever really thought she could
Face down, ass up!
The top of your booty jiggling out your jeans
Baby, pull your pants up
I like it when I see you do it
Better than I've ever seen it done before
A lot of women drop it to the ground
But how low can you go?
Lower than your mama's ever seen it in her lifetime
Never would've imagined did not even in her right mind
Practice in front of that mirror
Now you doing it on the dance floor
Mad 'cause I can't get wit ya chick just show me how to dance (OH!)
I may not wanna get low so I post it up kinda like a playa do
But if you come to the crib
Then I might show you girls a thang or two
Yeah, I think you a superstar wit a ass like that you gotta blow
Before you make it big
There's just one thing that I gotta know

How low can you go? (x8)
Go low, (Go low) lower than you know (x4)

I be like Nick-nac-paddywac
Oh where my kitty cat give a dog a bone
How many licks does it takes till I get to the center and let a realer nigga take you home
I could make me show stop
Soon as you hear this flow pop
From A-T-L-A-N-T-A and all the way down to your drop
Put the needle on a record and I make her get lower than a Lamborghini
And if she really gettin' low then Ima shoot a video and put it all on TV
'Cause I like that French vanilla and the caramel
But when it comes to chocolate
I know that very well
Asian persuasion
No discrimination
I love how they seem to please us
I wanna taste them butterican pecan peanut buttercups like Reese's Pieces
'Cause I think you a superstar
With a ass like that you gotta blow
Before you make it big
Well there just one thing that I gotta know

How low can you go? (x8)
Go low, (Go low) lower than you know (x4)

Drop it, hit it, dump it, split it
Don't stop (Get it, get it)
Put it on reverse just to back it up
Let me put some Luda in it
Show me what you workin wit
I'll show you some of this bank roll
Yeah you a superstar there's just one thing I gotta know so

How low can you go? (x8)
Go low, (Go low) lower than you know (x4)",How Low+Ludacris,0
Today Was A Fairytale,Taylor Swift,01/31/2010,2,2,0,"Today was a fairytale
You were the prince
I used to be a damsel in distress
You took me by the hand
And you picked me up at six
Today was a fairytale

Today was a fairytale

Today was a fairytale
I wore a dress
You wore a dark grey T-shirt
You told me I was pretty
When I looked like a mess
Today was a fairytale

Time slows down
Whenever you're around

But can you feel this magic in the air?
It must have been the way you kissed me
Fell in love when I saw you standin' there
It must have been the way
Today was a fairytale
It must have been the way
Today was a fairytale

Today was a fairytale
You've got a smile
That takes me to another planet
Every move you make
Everything you say is right
Today was a fairytale

Today was a fairytale
All that I can say
Is now it's getting so much clearer
Nothing made sense
Till the time I saw your face
Today was a fairytale

Time slows down
Whenever you're around, yeah

But can you feel this magic in the air?
It must have been the way you kissed me
Fell in love when I saw you standin' there
It must have been the way
Today was a fairytale
It must have been the way
Today was a fairytale

Time slows down
Whenever you're around
I can feel my heart
It's beating in my chest
Did you feel it?
I can't put this down

But can you feel this magic in the air?
It must have been the way you kissed me
Fell in love when I saw you standin' there
It must have been the way

But can you feel this magic in the air?
It must have been the way you kissed me
Fell in love when I saw you standin' there
It must have been the way
Today was a fairytale
It must have been the way
Today was a fairytale

Oh, oh, yeah, oh
Today was a fairytale",Today Was A Fairytale+Taylor Swift,1
Baby,Justin Bieber Featuring Ludacris,01/31/2010,5,5,0,"Justin Bieber
Oh whoa
Oh whoa
Oh whoa

You know you love me, I know you care
Just shout whenever, and I'll be there
You are my love, you are my heart
And we would never ever ever be apart

Are we an item? Girl, quit playing
We're just friends, what are you saying?
Say there's another and look right in my eyes
My first love broke my heart for the first time
And I was like...

Baby, baby, baby ooh
Like baby, baby, baby no
Like baby, baby, baby ooh
I thought you'd always be mine (mine)

Baby, baby, baby ooh
Like baby, baby, baby no
Like baby, baby, baby ooh
I thought you'd always be mine (mine)

Oh, for you I would have done whatever
And I just can't believe we ain't together
And I wanna play it cool, but I'm losin' you
I'll buy you anything, I'll buy you any ring
And I'm in pieces, baby fix me
And just shake me 'til you wake me from this bad dream
I'm going down, down, down, down
And I just can't believe my first love won't be around

And I'm like
Baby, baby, baby ooh
Like baby, baby, baby no
Like baby, baby, baby ooh
I thought you'd always be mine (mine)

Baby, baby, baby ooh
Like baby, baby, baby no
Like baby, baby, baby ooh
I thought you'd always be mine (mine)

Ludacris
Luda! When I was 13, I had my first love
There was nobody that compared to my baby
And nobody came between us or could ever come above
She had me going crazy, oh, I was star-struck
She woke me up daily, don't need no Starbucks
She made my heart pound, it skipped a beat when I see her in the street and
At school on the playground but I really wanna see her on the weekend
She knows she got me dazing cause she was so amazing
And now my heart is breaking but I just keep on saying...

Justin Bieber
Baby, baby, baby ooh
Like baby, baby, baby no
Like baby, baby, baby ooh
I thought you'd always be mine (mine)

Baby, baby, baby ooh
Like baby, baby, baby no
Like baby, baby, baby ooh
I thought you'd always be mine (mine)

I'm gone (yeah yeah yeah, yeah yeah yeah)
Now I'm all gone (yeah yeah yeah, yeah yeah yeah)
Now I'm all gone (yeah yeah yeah, yeah yeah yeah)
Now I'm all gone (gone, gone, gone...)
I'm gone",Baby+Justin Bieber Featuring Ludacris,0
Imma Be,The Black Eyed Peas,02/07/2010,4,4,9,"will.i.am
I'mma be, I'mma be - I'mma I'mma I'mma be
I'mma be, I'mma be - I'mma I'mma I'mma be
I'mma be, I'mma be - I'mma I'mma I'mma be
I'mma be be be be, I'mma I'mma be
I'mma be be be be, I'mma I'mma be
I'mma be be be be, I'mma I'mma be

Fergie
I'mma be on the next level
I'mma be rockin' over that bass treble
I'mma be chillin' with my motherfuckin' crew
I'mma be makin' all them deals you wanna do (ha)

I'mma be up in them A-list flicks
Doin' one-handed flips
And I'mma be sippin' on trick, 'cause
I'mma be shakin' my hips
You gon' be lickin' your lips
I'mma be takin' them pics

Lookin' all fly and shit
I'mma be the fliest chick (so fly)
I'mma be spreadin' my wings
I'mma be doin' my thing (do it, do it)
Okay

I'mma I'mma swing it this-a way, I'mma I'mma s- I'mma I'mma swing it that-a way
This Fergie Fergie, I'mma I'mma be here to stay
The 21st century, until infinity

will.i.am
I'mma be, I'mma be - I'mma I'mma I'mma be
I'mma be, I'mma be - I'mma I'mma I'mma be

Rich, baby, with, with
I'mma I'mma I'mma be
The shit, baby, check me out
Be I'mma I'mma be

On top, never stop
Be be I'mma I'mma be, I'mma be be be be I'mma I'mma be
I'mma be freakin' her
I'mma I'mma I'mma be - I'mma be be be be I'mma I'mma be

Yeah, I'mma I'mma be the upgraded new negro
I'mma be the average brother with soul
I'mma be worldwide international
I'mma be in Rio, rockin' Tokyo

I'mma be brilliant with my millions
Loan out a billion and get back a trillion
I'mma be your brother, but my name ain't Lehman
I'mma be your bank, I be loanin' out semen

Honies in debt, baby bouncin' them checks
But I don't really mind when they bouncin' them chicks
I'mma be, I'mma be I'm-I'mma I'm-I'mma be rich, baby
I'mma be, I'm only I'm-I'mma be

Sick with the flow
When the goal was to rock the whole globe
I'mma be the future, I'mma be the whole
Reason why you even wanna come to a show
You can see me while I'm rockin' and I'm pickin' out a golden

I'mma be up in the club
Doin' whatever I like
I'mma be poppin' that bubbly
Coolin' and livin' that good life
Oh, let's make this last forever
Party and we'll chill together

On and on and on and on and
On and on and on and on and

Taboo
I'mma be rockin' like this (What?)
Y'all niggas wan' talk shit (But)
Why don't you put it on the blog, nigga
Rockin' like this my job, nigga

We can't help that we popular
And all these folks want to flock to us
Come to a show and just rock with us
A million plus with binoculars

will.i.am
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be livin' that good life
I'mma be livin' that good good

I'mma be, I'mma be, I'mma be, I'mma be
I'mma be livin' that good life
I'mma be livin' that good good

I'mma be, I'mma be, I'mma be, I'mma be
I'mma be livin' that good life
I'mma be livin' that good good

I'mma be, I'mma be, I'mma be, I'mma be
I'mma be livin' that good life
I'mma be livin' that good good
I'mma be... (fuego... crazy) I'mma be... (loca)

I'mma be, I'mma be, I'mma be, I'mma be (lo...loca)

apl.de.ap
I'mma, I'mma, I'mma be, rockin' that
apl.de be infinite
B.E.P. we definitely
On some next-level shit

Futuristic, musically
Powerful with energy
From the soul we sonically
Sending positivity

Across the globe and seven seas
Take care of our families
Rock this show expectin' cheese
I'mma be out with my Peas

Livin' life, feelin' free
That's how it's supposed to be
Come join my festivities
Celebrate like I'mma be

will.i.am
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be, I'mma be, I'mma be, I'mma be
I'mma be, I'mma be, I'mma be, I'mma be",Imma Be+The Black Eyed Peas,1
In My Head,Jason Derulo,02/21/2010,9,9,10,"Jason Derülo.
Beluga Heights.
J. J. J. J. J. R.
C'mon.

Everybody's looking for love. Oh
Ain't that the reason you're at this club? Oh
You ain't gon' find it dancin' with him. No
I got a better solution for you girl, oh.

Just leave with me now, say the word and we'll go. (And we'll go)
I'll be your teacher, I'll show you the ropes. (You the ropes)
You'll see a side of love you've never known.
I can see it going down, going down

In my head, I see you all over me.
In my head, you fulfill my fantasy.
My head
You'll be screaming out
In my head, it's going down,
My head, it's going down,
In my head.

Yeah. In my head. Oh yeah.

C'mon!

Some dudes know all the right things to say. Oh
When it comes down to it, it's all just game. sure
Instead of talking let me demonstrate. Yeah (Yeah)
Get down to business let's skip foreplay, ay yeah.

Just leave with me now, say the word and we'll go. (We can go)
I'll be your teacher, I'll show you the ropes. (You the ropes)
You'll see a side of love you've never known. (Never known)
I can see it going down, going down

In my head, baby, I see you all over me.
In my head, you fulfill my fantasy.
My head, you'll be screaming out.
In my head, it's going down,
My head, it's going down,
In my head.

Break it down. Ay-oh. Come on. Yeah. Ay-oh. Let's go. Uuh. Ay-oh.
You singing to me baby in my head right now.
Ay-oh. Ay-oh. Come on. Yeah. Uuh. Ay-oh.
She'll be screaming out when it all goes down.

Just leave with me now, say the word and we'll go. (We can go)
I'll be your teacher, I'll show you the ropes. (You the ropes)
You'll see a side of love you've never known. (Never known)
I can see it going down, going down

In my head, I see you all over me.
In my head, you fulfill my fantasy.
My head, you'll be screaming out.
In my head, it's going down,
My head, it's going down.

In my head, I see you all over me.
In my head, you fulfill my fantasy.
My head, you'll be screaming out.
In my head, it's going down,
My head, it's going down,
It's going down in my head.",In My Head+Jason Derulo,0
